num_samples,num_sites,tool,threads,user_time,sys_time,wall_time,storage
10,116230,savvy,1,0.11,0.0,0.1472151279449463,hdd
10,116230,sgkit,1,6.7,0.3,6.900835990905762,hdd
100,204714,savvy,1,0.25,0.01,0.2876155376434326,hdd
100,204714,sgkit,1,7.55,0.48,7.896184921264648,hdd
1000,403989,savvy,1,1.31,0.02,1.364692211151123,hdd
1000,403989,sgkit,1,13.19,0.69,13.466672420501709,hdd
10000,863998,savvy,1,14.12,0.08,14.228865146636963,hdd
10000,863998,sgkit,1,113.01,10.76,119.05235552787781,hdd
100000,2365367,savvy,1,388.86,0.59,389.6784107685089,hdd
100000,2365367,sgkit,1,2545.2,658.47,3085.060316801071,hdd
1000000,7254858,savvy,1,8410.33,5.25,8418.529668569565,hdd
1000000,7254858,sgkit,1,76912.53,27060.23,99354.307908535,hdd
10,116230,savvy,8,0.2,0.01,0.06759929656982422,hdd
10,116230,sgkit,8,6.98,0.44,7.159195423126221,hdd
100,204714,savvy,8,0.39,0.01,0.09683585166931152,hdd
100,204714,sgkit,8,7.34,0.32,7.183086633682251,hdd
1000,403989,savvy,8,1.53,0.02,0.257854700088501,hdd
1000,403989,sgkit,8,12.52,0.76,8.086754322052002,hdd
10000,863998,savvy,8,17.67,0.07,2.3744232654571533,hdd
10000,863998,sgkit,8,104.67,11.8,23.001765489578247,hdd
100000,2365367,savvy,8,356.71,0.53,48.30210494995117,hdd
100000,2365367,sgkit,8,2568.8,357.14,408.2441155910492,hdd
1000000,7254858,savvy,8,14723.46,17.88,2126.698394536972,hdd
1000000,7254858,sgkit,8,74811.71,19191.88,13146.757795333862,hdd
10,116230,bcftools,1,0.08,0.01,0.10981178283691406,hdd
10,116230,genozip,1,0.74,0.02,0.6149568557739258,hdd
100,204714,bcftools,1,0.42,0.0,0.4426300525665283,hdd
100,204714,genozip,1,6.26,0.1,5.017681360244751,hdd
1000,403989,bcftools,1,5.01,0.02,5.066232919692993,hdd
1000,403989,genozip,1,93.73,1.36,74.90688610076904,hdd
10000,863998,bcftools,1,93.59,0.27,93.93752694129944,hdd
10000,863998,genozip,1,2017.71,34.23,1616.617880821228,hdd
100000,2365367,bcftools,1,2442.14,2.91,2446.412296295166,hdd
100000,2365367,genozip,1,55005.0,919.67,44662.65710091591,hdd
1000000,7254858,bcftools,1,73939.32,46.09,74023.08367824554 ,hdd
10,116230,bcftools,8,0.09,0.0,0.11072897911071777,hdd
10,116230,genozip,8,0.74,0.03,0.4600706100463867,hdd
100,204714,bcftools,8,0.42,0.0,0.43875980377197266,hdd
100,204714,genozip,8,6.23,0.24,1.6169908046722412,hdd
1000,403989,bcftools,8,5.05,0.01,5.101521968841553,hdd
1000,403989,genozip,8,99.58,1.96,20.397233724594116,hdd
10000,863998,bcftools,8,94.83,0.22,95.12718224525452,hdd
10000,863998,genozip,8,2098.0,55.49,419.63620710372925,hdd
100000,2365367,bcftools,8,2465.59,2.43,2469.2108194828033,hdd
100000,2365367,genozip,8,56752.53,1162.99,11111.755272865295,hdd
1000000,7254858,bcftools,8,73589.0,62.0,73687.12459254265,hdd
10,116230,savvy,1,0.12,0.01,0.15223956108093262,ssd
10,116230,sgkit,1,6.51,0.24,6.742297649383545,ssd
100,204714,savvy,1,0.25,0.01,0.2902865409851074,ssd
100,204714,sgkit,1,7.48,0.34,7.674980163574219,ssd
1000,403989,savvy,1,1.24,0.02,1.287170171737671,ssd
1000,403989,sgkit,1,12.75,0.77,13.13840389251709,ssd
10000,863998,savvy,1,14.0,0.05,14.081624507904053,ssd
10000,863998,sgkit,1,112.67,11.88,119.71576642990112,ssd
100000,2365367,savvy,1,302.31,0.25,302.6963927745819,ssd
100000,2365367,sgkit,1,2823.18,358.92,3048.688882112503,ssd
1000000,7254858,savvy,1,8381.81,5.64,8389.833282232285,ssd
1000000,7254858,sgkit,1,80681.79,12782.69,89283.96452736855,ssd
10,116230,savvy,8,0.2,0.02,0.06562232971191406,ssd
10,116230,sgkit,8,7.08,0.29,7.170203924179077,ssd
100,204714,savvy,8,0.38,0.03,0.09813261032104492,ssd
100,204714,sgkit,8,7.62,0.38,7.488377571105957,ssd
1000,403989,savvy,8,1.57,0.03,0.2631216049194336,ssd
1000,403989,sgkit,8,12.79,0.79,8.42643117904663,ssd
10000,863998,savvy,8,17.16,0.11,2.360966920852661,ssd
10000,863998,sgkit,8,100.49,11.33,21.95860719680786,ssd
100000,2365367,savvy,8,332.6,0.43,42.428391456604004,ssd
100000,2365367,sgkit,8,2435.19,264.12,377.1158936023712,ssd
1000000,7254858,savvy,8,14459.95,10.7,1842.8756363391876,ssd
1000000,7254858,sgkit,8,69432.68,10882.75,10441.72468495369,ssd
10,116230,savvy,16,0.2,0.02,0.045156002044677734,ssd
10,116230,sgkit,16,6.87,0.28,6.960269451141357,ssd
100,204714,savvy,16,0.41,0.02,0.06922030448913574,ssd
100,204714,sgkit,16,7.54,0.36,7.4084632396698,ssd
1000,403989,savvy,16,2.01,0.07,0.19765543937683105,ssd
1000,403989,sgkit,16,13.48,1.27,8.31303882598877,ssd
10000,863998,savvy,16,22.46,0.14,1.6671440601348877,ssd
10000,863998,sgkit,16,112.53,13.12,18.053133249282837,ssd
100000,2365367,savvy,16,361.38,0.7,24.20253324508667,ssd
100000,2365367,sgkit,16,2704.05,284.91,255.56622457504272,ssd
1000000,7254858,savvy,16,26142.4,20.09,1648.9327759742737,ssd
1000000,7254858,sgkit,16,73727.23,14286.92,6253.097551584244,ssd
